index,ID,F,stored,readback,direct,used_source,reason
17458,,,,,0.16989891739061846,direct,missing_value
17523,,,,,0.162494790529081,direct,missing_value
17532,,,,,0.05042976140975952,direct,missing_value
17634,,,,,0.16033612610203368,direct,missing_value
17649,,,,,0.0896434362776732,direct,missing_value
17661,,,,,0.0,direct,missing_value
17830,,,,,0.1429275798137155,direct,missing_value
17863,,,,,0.14311514605174125,direct,missing_value
17890,,,,,0.09215390327153727,direct,missing_value
17894,,,,,0.11265113718467341,direct,missing_value
17996,,,,,0.04296720027923584,direct,missing_value
17999,,,,,0.05000048875808716,direct,missing_value
18094,,,,,0.09254506410798058,direct,missing_value
18118,,,,,0.07766439214453219,direct,missing_value
18124,,,,,0.0818095265872219,direct,missing_value
18153,,,,,0.1030852198600769,direct,missing_value
18204,,,,,0.07039022445678711,direct,missing_value
18262,,,,,0.042218685150146484,direct,missing_value
18269,,,,,0.05284252135045131,direct,missing_value
18273,,,,,0.18046041983961914,direct,missing_value
18449,,,,,0.0892756554462038,direct,missing_value
18492,,,,,0.1117828204005491,direct,missing_value
18553,,,,,0.15221570778214755,direct,missing_value
18600,,,,,0.0013027191162109375,direct,missing_value
18747,,,,,0.05044865608215332,direct,missing_value
18780,,,,,0.01220703125,direct,missing_value
18838,,,,,0.08095026016235352,direct,missing_value
18851,,,,,0.07174395766753605,direct,missing_value
18853,,,,,0.020263671875,direct,missing_value
18917,,,,,0.0681519729240935,direct,missing_value
19025,,,,,0.13006471229089311,direct,missing_value
19133,,,,,0.03817546367645264,direct,missing_value
19199,,,,,0.13727811723947525,direct,missing_value
19299,,,,,0.13860149717083914,direct,missing_value
19382,,,,,0.07165929155451353,direct,missing_value
19406,,,,,0.09877732564200414,direct,missing_value
19482,,,,,0.008056640625,direct,missing_value
19491,,,,,0.01141357421875,direct,missing_value
19510,,,,,0.0642094612121582,direct,missing_value
19714,,,,,0.16069114888613312,direct,missing_value
19727,,,,,0.08846565600541316,direct,missing_value
19813,,,,,0.00927734375,direct,missing_value
19833,,,,,0.1558596440165445,direct,missing_value
19864,,,,,0.16163014680293486,direct,missing_value
